"Field","Trt","Plot","WScom","WSpop","WAsyn","WCPE","WSAE","Scom","Spop","Asyn","CPE","SAE","Richness","Nitrogen","Nitrogen_log","Group"
"CDR B","A",1,0.387338139376205,0.156319025197236,1.20201905497474,0.232730013106304,1.23005002174292,0.588132049313459,0.322239599924099,1.82513896321864,0.732505316569577,2.49163920306547,4.82608695652174,0,0,"Forb"
"CDR B","A",11,0.440964982838648,0.180355789642755,1.1457401591259,0.144218867702359,1.09544273486861,1.13941097955761,0.384873463085265,2.96048205148709,0.98126732460645,3.01699850514683,5.43478260869565,0,0,"Forb"
"CDR B","A",17,0.301622886539859,0.154861325220295,0.910542573762695,0.150032215728129,1.11967883887287,0.575236385246472,0.331256214954829,1.7365300914427,0.738710578496622,2.35075839170569,5.08695652173913,0,0,"Forb"
"CDR B","A",33,0.611018627521961,0.243284648513067,1.21422002887087,0.312967485472971,1.18862234284909,1.18989031116218,0.503219031965862,2.36455745028916,1.08943691787309,2.17043998738861,5.56521739130435,0,0,"Forb"
"CDR B","A",34,0.372835470396856,0.14997373897381,1.21703621511172,0.459971741744897,1.08421667423934,0.554484840279272,0.306347063273405,1.8099890834743,1.00864427944655,1.79447712177324,4.08695652173913,0,0,"Forb"
"CDR B","A",54,1.09813089401412,0.432500544180006,1.20293768059894,0.576575727802889,1.05826605176032,1.54009154896686,0.912874300742963,1.68707953297998,1.06492888227863,1.58421802718894,5.26086956521739,0,0,"Forb"
"CDR B","B",10,0.458860978039752,0.205219924696858,1.05915171059772,0.298527959223254,1.09323650060811,0.958687740195899,0.433234420950704,2.21286142982851,1.14153321650506,1.93849937770838,3.04347826086957,1,0.301029995663981,"Forb"
"CDR B","B",13,0.552124123469888,0.209450926869617,1.25085889511174,0.280674060137225,1.26311085250915,1.19483320121307,0.441396008476694,2.70694156328366,1.14649376622475,2.36106086489878,3.82608695652174,1,0.301029995663981,"Forb"
"CDR B","B",26,0.189867572770838,0.071840150701668,0.630568276771425,0.103239783258617,0.58950780098155,0.605829723306256,0.301105494464421,2.01201816122236,1.0252347558272,1.9624950771387,2.47826086956522,1,0.301029995663981,"Forb"
"CDR B","B",31,0.299669316010429,0.1053027145119,0.856193927515237,0.0972255720985697,0.7766221698363,0.744554507313621,0.35000168347386,2.1272883602265,0.774719476225222,2.74588212315455,3.39130434782609,1,0.301029995663981,"Forb"
"CDR B","B",40,0.208418449537244,0.087722812484552,0.49027454217429,0.0404620635867341,0.423633581821854,0.899858141508237,0.425105592089162,2.1167873541393,0.868484163515865,2.43733558199836,3.69565217391304,1,0.301029995663981,"Forb"
"CDR B","B",49,0.255228079151143,0.10580379113339,0.63471791072267,0.0683190647685035,0.647719444898837,0.968092131165987,0.402112615446046,2.40751494476771,0.991423466950997,2.42834169759138,2.82608695652174,1,0.301029995663981,"Forb"
