"Field","Trt","Plot","WScom","WSpop","WAsyn","WCPE","WSAE","Scom","Spop","Asyn","CPE","SAE","Richness","Nitrogen","Nitrogen_log","Group"
"CDR B","A",1,1.64153115536055,1.26782872194349,0.871386410021806,0.659035138156554,1.01039116951683,2.04027807403258,1.88381541929196,1.08305625547933,1.00900778715288,1.07338741015606,1.56521739130435,0,0,"Dominant grass"
"CDR B","A",11,2.49595851902779,2.07919549732279,0.909071157956499,0.761939748907146,1.009589957124,2.83322118362482,2.74561402282134,1.03190803954063,0.99083977519924,1.04144793675963,1.30434782608696,0,0,"Dominant grass"
"CDR B","A",17,2.73965038089908,1.82224775979357,1.00100929420065,0.958418974424335,0.965738906707737,2.79360507268273,2.73688805565668,1.02072317751865,0.998268961518671,1.02249315251255,1.1304347826087,0,0,"Dominant grass"
"CDR B","A",33,2.15936693305952,1.43749180011052,0.858634482044855,0.730798456500086,0.867567958543943,2.52796446527167,2.51488494605637,1.00520084198516,1.00079085682332,1.00440650025105,1.08695652173913,0,0,"Dominant grass"
"CDR B","A",34,1.88191402020485,1.3595264423797,0.932183812700125,0.82897915614839,0.955398037298026,2.07187224657906,2.01882289154301,1.02627736948015,1.00238601891059,1.02383448104705,1.17391304347826,0,0,"Dominant grass"
"CDR B","A",54,2.96832934178541,1.44131535423076,1.13594386913537,1.24126972230898,0.871218312771008,2.66708443977612,2.61309508545064,1.02066107529959,1.00105459064554,1.01958582962134,1.39130434782609,0,0,"Dominant grass"
"CDR B","B",10,1.68833089732253,1.14002451746262,0.915671568138981,0.778268194536135,0.909447214069785,1.9128892294145,1.84381710218863,1.03746148527633,0.999532442240241,1.03794678535003,1.52173913043478,1,0.301029995663981,"Dominant grass"
"CDR B","B",13,1.74161346088754,1.13289551013261,0.627815332771073,0.388481973797337,0.676123240100945,2.78678116264729,2.77408557895575,1.00457649316512,0.997324595135672,1.00727135183953,1.1304347826087,1,0.301029995663981,"Dominant grass"
"CDR B","B",26,1.80729209098527,0.821098477779225,1.22416591506541,0.833302192747474,1.09698996428289,2.58979499866807,1.47634570505805,1.75419279494991,1.30809203758715,1.34103162816097,1.69565217391304,1,0.301029995663981,"Dominant grass"
"CDR B","B",31,2.29327262203387,1.01614304585556,1.1094043260034,0.873063332463438,0.924902544734813,2.42271758765598,2.06712067753993,1.17202523006022,0.987120065773991,1.18731780529783,1.82608695652174,1,0.301029995663981,"Dominant grass"
